カラム名,データ型,制約,NULL許可,デフォルト値,説明
assignee_id,BIGSERIAL,PRIMARY KEY,NOT NULL,nextval('search_assignees_assignee_id_seq'::regclass),担当者ID（自動採番）
assignee_name,VARCHAR(255),NOT NULL,NOT NULL,-,担当者名
created_at,TIMESTAMP,DEFAULT,YES,CURRENT_TIMESTAMP,作成日時
updated_at,TIMESTAMP,DEFAULT,YES,CURRENT_TIMESTAMP,更新日時
